Metric,Value
route__drc_errors__iter:18,133
route__wirelength__iter:18,348923
route__drc_errors__iter:19,24
route__wirelength__iter:19,349017
route__drc_errors__iter:20,17
route__wirelength__iter:20,349024
route__drc_errors__iter:21,16
route__wirelength__iter:21,349024
route__drc_errors__iter:22,6
route__wirelength__iter:22,349033
route__drc_errors__iter:23,3
route__wirelength__iter:23,349022
route__drc_errors__iter:24,3
route__wirelength__iter:24,349022
route__drc_errors__iter:25,1
route__wirelength__iter:25,349036
route__drc_errors__iter:26,1
route__wirelength__iter:26,349036
route__drc_errors__iter:27,1
route__wirelength__iter:27,349036
route__drc_errors__iter:28,1
route__wirelength__iter:28,349039
route__drc_errors__iter:29,0
route__wirelength__iter:29,349029
route__drc_errors,0
route__wirelength,349029
route__vias,33906
route__vias__singlecut,33906
route__vias__multicut,0
design__disconnected_pin__count,18
design__critical_disconnected_pin__count,0
route__wirelength__max,1371.88
timing__unannotated_net__count__corner:nom_tt_025C_1v80,39
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,39
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,39
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.33675529984404695
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.1012024798164224
timing__hold__ws__corner:min_tt_025C_1v80,0.4413295409594037
timing__setup__ws__corner:min_tt_025C_1v80,6.534748038763216
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.441330
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,39
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,1
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.5061540219106961
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.1012068096863409
timing__hold__ws__corner:min_ss_100C_1v60,0.9163308149403605
timing__setup__ws__corner:min_ss_100C_1v60,2.0711806189693376
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.980709
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,39
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.2653823902414058
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.1011983164799623
timing__hold__ws__corner:min_ff_n40C_1v95,0.2481164788298782
timing__setup__ws__corner:min_ff_n40C_1v95,8.677487418674774
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.248116
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,39
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.3641306248479688
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.10401223232660897
timing__hold__ws__corner:max_tt_025C_1v80,0.451986016962654
timing__setup__ws__corner:max_tt_025C_1v80,6.315355528394566
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
